  Act_A      Act_B      Frac_A   Phase_Sep 
    70        110        90.0        1     
    70        120        10.0        1     
    70        120        20.0        1     
    70        120        30.0        1     
    70        120        40.0        1     
    70        120        50.0        1     
    70        120        60.0        1     
    70        120        70.0        1     
    70        120        80.0        1     
    70        120        90.0        1     
    70        130        10.0        1     
    70        130        20.0        1     
    70        130        30.0        1     
    70        130        40.0        1     
    70        130        50.0        1     
    70        130        60.0        1     
    70        130        70.0        1     
    70        130        80.0        1     
    70        130        90.0        1     
    70        140        10.0        1     
    70        140        20.0        1     
    70        140        30.0        1     
    70        140        40.0        1     
    70        140        50.0        1     
    70        140        60.0        1     
    70        140        70.0        1     
    70        140        80.0        1     
    70        140        90.0        1     
    70        150        10.0        1     
    70        150        20.0        1     
    70        150        30.0        1     
    70        150        40.0        1     
    70        150        50.0        1     
    70        150        60.0        1     
    70        150        70.0        1     
    70        150        80.0        1     
    70        150        90.0        1     
    70         80        10.0        1     
    70         80        20.0        1     
    70         80        30.0        1     
    70         80        40.0        1     
    70         80        50.0        1     
    70         80        60.0        1     
    70         80        70.0        1     
    70         80        80.0        1     
    70         80        90.0        1     
    70         90        10.0        1     
    70         90        20.0        1     
    70         90        30.0        1     
    70         90        40.0        1     
    70         90        50.0        1     
    70         90        60.0        1     
    70         90        70.0        1     
    70         90        80.0        1     
    70         90        90.0        1     
    80        100        10.0        1     
    80        100        20.0        1     
    80        100        30.0        1     
    80        100        40.0        1     
    80        100        50.0        1     
    80        100        60.0        1     
    80        100        70.0        1     
    80        100        80.0        1     
    80        100        90.0        1     
    80        110        10.0        1     
    80        110        20.0        1     
    80        110        30.0        1     
    80        110        40.0        1     
    80        110        50.0        1     
    80        110        60.0        1     
    80        110        70.0        1     
    80        110        80.0        1     
    80        110        90.0        1     
    80        120        10.0        1     
    80        120        20.0        1     
    80        120        30.0        1     
    80        120        40.0        1     
    80        120        50.0        1     
    80        120        60.0        1     
    80        120        70.0        1     
    80        120        80.0        1     
    80        120        90.0        1     
    80        130        10.0        1     
    80        130        20.0        1     
    80        130        30.0        1     
    80        130        40.0        1     
    80        130        50.0        1     
    80        130        60.0        1     
    80        130        70.0        1     
    80        130        80.0        1     
    80        130        90.0        1     
    80        140        10.0        1     
    80        140        20.0        1     
    80        140        30.0        1     
    80        140        40.0        1     
    80        140        50.0        1     
    80        140        60.0        1     
    80        140        70.0        1     
    80        140        80.0        1     
    80        140        90.0        1     
    80        150        10.0        1     
    80        150        20.0        1     
    80        150        30.0        1     
    80        150        40.0        1     
    80        150        50.0        1     
    80        150        60.0        1     
    80        150        70.0        1     
    80        150        80.0        1     
    80        150        90.0        1     
    80         90        10.0        1     
    80         90        20.0        1     
    80         90        30.0        1     
    80         90        40.0        1     
    80         90        50.0        1     
    80         90        60.0        1     
    80         90        70.0        1     
    80         90        80.0        1     
    80         90        90.0        1     
    90        100        10.0        1     
    90        100        20.0        1     
    90        100        30.0        1     
    90        100        40.0        1     
    90        100        50.0        1     
    90        100        60.0        1     
    90        100        70.0        1     
    90        100        80.0        1     
    90        100        90.0        1     
    90        110        10.0        1     
    90        110        20.0        1     
    90        110        30.0        1     
    90        110        40.0        1     
    90        110        50.0        1     
    90        110        60.0        1     
    90        110        70.0        1     
    90        110        80.0        1     
    90        110        90.0        1     
    90        120        10.0        1     
    90        120        20.0        1     
    90        120        30.0        1     
    90        120        40.0        1     
    90        120        50.0        1     
    90        120        60.0        1     
    90        120        70.0        1     
    90        120        80.0        1     
    90        120        90.0        1     
    90        130        10.0        1     
    90        130        20.0        1     
    90        130        30.0        1     
    90        130        40.0        1     
    90        130        50.0        1     
    90        130        60.0        1     
    90        130        70.0        1     
    90        130        80.0        1     
    90        130        90.0        1     
    90        140        10.0        1     
    90        140        20.0        1     
    90        140        30.0        1     
    90        140        40.0        1     
    90        140        50.0        1     
    90        140        60.0        1     
    90        140        70.0        1     
    90        140        80.0        1     
    90        140        90.0        1     
    90        150        10.0        1     
    90        150        20.0        1     
    90        150        30.0        1     
    90        150        40.0        1     
    90        150        50.0        1     
    90        150        60.0        1     
    90        150        70.0        1     
    90        150        80.0        1     
    90        150        90.0        1     
